ResearchNumber,SealNumber,State,Species,DeathLocation,DateCollected,SampleType,Sex,AgeClass,Notes
CT2022_Ov_1,CT2022_Ov_1,Connecticut,Odocoileus virginianus,Groton,2/2/22,"Blood, Liver",M,Juv,From Bluff Point Coastal Reserve
CT2022_Ov_2,CT2022_Ov_2,Connecticut,Odocoileus virginianus,Groton,2/2/22,"Blood, Liver",F,Adult,From Bluff Point Coastal Reserve
CT2022_Ov_3,CT2022_Ov_3,Connecticut,Odocoileus virginianus,Groton,2/2/22,"Blood, Liver",F,Fawn,From Bluff Point Coastal Reserve
CT2022_Ov_4,CT2022_Ov_4,Connecticut,Odocoileus virginianus,Groton,2/2/22,"Blood, Liver",F,Fawn,From Bluff Point Coastal Reserve
CT2022_Ov_5,CT2022_Ov_5,Connecticut,Odocoileus virginianus,Groton,2/2/22,"Blood, Liver",F,Adult,From Bluff Point Coastal Reserve
CT2022_Ov_6,CT2022_Ov_6,Connecticut,Odocoileus virginianus,Groton,2/2/22,"Blood, Liver",F,Fawn,From Bluff Point Coastal Reserve
CT2022_Ov_7,CT2022_Ov_7,Connecticut,Odocoileus virginianus,Groton,2/2/22,"Blood, Liver",M,Juv,From Bluff Point Coastal Reserve
CT2022_Ov_8,CT2022_Ov_8,Connecticut,Odocoileus virginianus,Groton,2/2/22,"Blood, Liver",F,Adult,From Bluff Point Coastal Reserve
CT2022_Ov_9,CT2022_Ov_9,Connecticut,Odocoileus virginianus,Groton,2/9/22,"Blood, Liver",F,Adult,From Bluff Point Coastal Reserve
CT2022_Ov_10,CT2022_Ov_10,Connecticut,Odocoileus virginianus,Groton,2/9/22,"Blood, Liver",F,Yearling,From Bluff Point Coastal Reserve
CT2022_Ov_11,CT2022_Ov_11,Connecticut,Odocoileus virginianus,Groton,2/9/22,"Blood, Liver",M,Yearling,From Bluff Point Coastal Reserve
CT2022_Ov_12,CT2022_Ov_12,Connecticut,Odocoileus virginianus,Groton,2/9/22,"Blood, Liver",F,YOY,From Bluff Point Coastal Reserve
CT2022_Ov_13,CT2022_Ov_13,Connecticut,Odocoileus virginianus,Groton,2/9/22,"Blood, Liver",F,Adult,From Bluff Point Coastal Reserve
CT2022_Ov_14,CT2022_Ov_14,Connecticut,Odocoileus virginianus,Groton,2/16/22,"Blood, Liver",M,Button,From Bluff Point Coastal Reserve
CT2022_Ov_15,CT2022_Ov_15,Connecticut,Odocoileus virginianus,Groton,2/16/22,"Blood, Liver",F,Adult,From Bluff Point Coastal Reserve
CT2022_Ov_16,CT2022_Ov_16,Connecticut,Odocoileus virginianus,Groton,2/16/22,"Blood, Liver",F,Adult,From Bluff Point Coastal Reserve
CT2022_Ov_17,CT2022_Ov_17,Connecticut,Odocoileus virginianus,Groton,2/16/22,"Blood, Liver",F,Fawn,From Bluff Point Coastal Reserve
CT2022_Ov_18,CT2022_Ov_18,Connecticut,Odocoileus virginianus,Groton,2/16/22,"Blood, Liver",F,Adult,From Bluff Point Coastal Reserve
,51,Vermont,Alces alces,NA,4/9/17,Liver,M,Calf,Bull calf
,94,Vermont,Alces alces,NA,4/5/18,Liver,NA,NA,NA
,89,Vermont,Alces alces,NA,1/20/18,Liver,NA,NA,NA
,107,Vermont,Alces alces,NA,4/15/19,Liver,NA,NA,NA
,84,Vermont,Alces alces,NA,4/16/18,Liver,NA,NA,NA
,120,Vermont,Alces alces,NA,5/5/19,Liver,NA,NA,NA
,87,Vermont,Alces alces,NA,4/16/18,Liver,NA,NA,NA
,100,Vermont,Alces alces,NA,5/4/19,Liver,NA,NA,NA
,124,Vermont,Alces alces,NA,4/30/19,Liver,NA,NA,NA
,91,Vermont,Alces alces,NA,9/17/18,Liver,NA,NA,NA
,16,Vermont,Alces alces,NA,5/1/19,Liver,NA,NA,NA
,8,Vermont,Alces alces,NA,4/28/17,Liver,M,Calf,NA
,122,Vermont,Alces alces,NA,3/6/19,Liver,NA,NA,NA
,60,Vermont,Alces alces,NA,2/13/17,Liver,NA,NA,NA
,53,Vermont,Alces alces,NA,4/19/17,Liver,M,Calf,NA
,78,Vermont,Alces alces,NA,4/29/18,Liver,NA,NA,NA
,36,Vermont,Alces alces,NA,3/16/17,Liver,NA,NA,NA
,70,Vermont,Alces alces,NA,4/7/18,Liver,NA,NA,NA
,5,Vermont,Alces alces,NA,5/3/17,Liver,NA,NA,NA
,54,Vermont,Alces alces,NA,5/7/19,Liver,NA,NA,NA
,114,Vermont,Alces alces,NA,4/29/19,Liver,NA,NA,NA
,75,Vermont,Alces alces,NA,4/10/18,Liver,NA,NA,NA
,11,Vermont,Alces alces,NA,5/20/18,Liver,NA,NA,NA
,125,Vermont,Alces alces,NA,3/24/19,Liver,NA,NA,NA
,27,Vermont,Alces alces,NA,4/25/17,Liver,NA,NA,NA
,76,Vermont,Alces alces,NA,4/4/18,Liver,NA,NA,NA
,80,Vermont,Alces alces,NA,4/26/18,Liver,NA,NA,NA
,13,Vermont,Alces alces,NA,4/14/17,Liver,NA,NA,NA
,99,Vermont,Alces alces,NA,4/22/19,Liver,NA,NA,NA
,126,Vermont,Alces alces,NA,4/22/19,Liver,NA,NA,NA
,118,Vermont,Alces alces,NA,4/25/19,Liver,NA,NA,NA
,113,Vermont,Alces alces,NA,4/2/19,Liver,NA,NA,NA
,90,Vermont,Alces alces,NA,4/2/18,Liver,NA,NA,NA
,109,Vermont,Alces alces,NA,2/27/19,Liver,NA,NA,NA
,2144474,Maine,Odocoileus virginianus,Harrison,NA,Lymph Node,M,NA,
,2132105,Maine,Odocoileus virginianus,Scarborough,NA,Lymph Node,F,NA,
,2134819,Maine,Odocoileus virginianus,Harrison,NA,Lymph Node,M,NA,
,2140991,Maine,Odocoileus virginianus,Scarborough,NA,Lymph Node,M,NA,
,2140893,Maine,Odocoileus virginianus,Scarborough,NA,Lymph Node,F,NA,
,2140961,Maine,Odocoileus virginianus,Scarborough,NA,Lymph Node,M,NA,
,2139630,Maine,Odocoileus virginianus,Paris,NA,Lymph Node,M,NA,
,2116612,Maine,Odocoileus virginianus,Paris,NA,Lymph Node,M,NA,
,2145239,Maine,Odocoileus virginianus,Gray,NA,Lymph Node,F,NA,
,2149929,Maine,Odocoileus virginianus,Hiram,NA,Lymph Node,F,NA,
,2145132,Maine,Odocoileus virginianus,Gray,NA,Lymph Node,F,NA,
,2139670,Maine,Odocoileus virginianus,Paris,NA,Lymph Node,F,NA,
,2149936,Maine,Odocoileus virginianus,Harrison,NA,Lymph Node,M,NA,
,2139249,Maine,Odocoileus virginianus,Paris,NA,Lymph Node,F,NA,
,2156801,Maine,Odocoileus virginianus,Lewiston,NA,Lymph Node,F,NA,
,2134773,Maine,Odocoileus virginianus,Harrison,NA,Lymph Node,M,NA,
,2145240,Maine,Odocoileus virginianus,Gray,NA,Lymph Node,F,NA,
,2139669,Maine,Odocoileus virginianus,,NA,Lymph Node,,NA,
